Year,DayOfWeek,Shift,Country,State,Local,Industry Sector,Accident Severity,Potential Severity,Accident Type,Gender,Age,Employee Type,Critical Risk,Damage Index,Hour Type,Safety Gear,Month
2020,Saturday,Night,India,Telangana,Telangana_Local_7,Automobiles,Fatal,High,Manual Handling,Male,41,Third Party,Gas Leak,4818,Overtime,No,June
2019,Saturday,Afternoon,India,Gujarat,Gujarat_Local_10,Pharmaceuticals,Severe Injury,High,Electrical Fault,Male,42,Third Party,Slip/Trip,8059,Working Hours,No,June
2018,Wednesday,Morning,India,Telangana,Telangana_Local_4,Electronics,Minor Injury,Low,Electrical Fault,Female,28,Outsider,Chemical Exposure,7579,Working Hours,No,February
2016,Sunday,Morning,India,Maharashtra,Maharashtra_Local_14,Petrochemicals,Minor Injury,Low,Explosion,Female,38,Third Party,Pressure Systems,3498,Working Hours,No,August
2019,Thursday,Night,India,Chhattisgarh,Chhattisgarh_Local_1,Textiles,Fatal,High,Structural Collapse,Female,42,Third Party,Slip/Trip,8507,Overtime,No,February
2020,Thursday,Morning,India,Rajasthan,Rajasthan_Local_4,Cement,Severe Injury,High,Manual Handling,Male,48,Third Party,Fire/Explosion,2985,Working Hours,No,April
2016,Sunday,Morning,India,Assam,Assam_Local_6,Cement,Fatal,High,Explosion,Male,25,Third Party,Slip/Trip,563,Overtime,Yes,February
2015,Thursday,Morning,India,Karnataka,Karnataka_Local_5,Automobiles,Minor Injury,Low,Vehicle Collision,Male,52,Outsider,Manual Tools,137,Working Hours,No,January
2018,Monday,Night,India,Punjab,Punjab_Local_4,Fertilizers,Severe Injury,High,Explosion,Male,46,Outsider,Slip/Trip,2888,Overtime,No,October
2019,Tuesday,Afternoon,India,Odisha,Odisha_Local_3,Petrochemicals,Minor Injury,Low,Explosion,Male,25,Employee,Pressure Systems,8544,Working Hours,No,December
2015,Saturday,Night,India,Karnataka,Karnataka_Local_1,Petrochemicals,Minor Injury,Low,Explosion,Male,31,Employee,Slip/Trip,5099,Overtime,No,January
2015,Friday,Night,India,Haryana,Haryana_Local_3,Mining,Handicapped,Moderate,Structural Collapse,Male,34,Outsider,Mechanical Impact,9333,Overtime,Yes,April
2015,Tuesday,Night,India,Punjab,Punjab_Local_1,Automobiles,Handicapped,Moderate,Manual Handling,Male,38,Employee,Manual Tools,768,Overtime,No,February
2016,Saturday,Morning,India,Assam,Assam_Local_12,Construction,Fatal,High,Manual Handling,Female,52,Third Party,Electric Shock,4674,Overtime,No,January
2015,Monday,Morning,India,Haryana,Haryana_Local_8,Electronics,Minor Injury,Low,Explosion,Male,27,Outsider,Pressure Systems,608,Working Hours,Yes,January
2019,Monday,Morning,India,Karnataka,Karnataka_Local_7,Steel,Minor Injury,Low,Fire,Male,36,Third Party,Gas Leak,3071,Working Hours,No,March
2015,Monday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_1,Pharmaceuticals,Minor Injury,Low,Machinery Accident,Male,33,Employee,Fall from Height,850,Working Hours,Yes,July
2019,Sunday,Afternoon,India,Tamil Nadu,Tamil Nadu_Local_15,Steel,Fatal,High,Slips/Trips,Male,52,Third Party,Manual Tools,8198,Overtime,No,April
2016,Sunday,Morning,India,Chhattisgarh,Chhattisgarh_Local_5,Textiles,Minor Injury,Low,Explosion,Male,56,Third Party,Pressure Systems,72,Overtime,No,July
2015,Monday,Morning,India,Tamil Nadu,Tamil Nadu_Local_6,Automobiles,Minor Injury,Low,Electrical Fault,Male,39,Outsider,Fall from Height,8143,Working Hours,No,February
2017,Sunday,Night,India,Assam,Assam_Local_2,Electronics,Severe Injury,High,Machinery Accident,Male,33,Outsider,Heavy Machinery,5817,Working Hours,No,May
2018,Sunday,Night,India,Tamil Nadu,Tamil Nadu_Local_11,Fertilizers,Fatal,High,Vehicle Collision,Female,38,Outsider,Slip/Trip,4539,Overtime,Yes,April
2015,Tuesday,Night,India,Maharashtra,Maharashtra_Local_14,Construction,Severe Injury,High,Fire,Male,44,Outsider,Manual Tools,4796,Overtime,No,March
2017,Friday,Morning,India,Maharashtra,Maharashtra_Local_3,Electronics,Severe Injury,High,Slips/Trips,Male,31,Outsider,Mechanical Impact,9503,Working Hours,No,July
2016,Tuesday,Morning,India,Maharashtra,Maharashtra_Local_9,Automobiles,Handicapped,Moderate,Manual Handling,Male,49,Outsider,Manual Tools,3649,Working Hours,No,January
2017,Saturday,Night,India,West Bengal,West Bengal_Local_9,Petrochemicals,Severe Injury,High,Chemical Spill,Male,29,Third Party,Fall from Height,7370,Working Hours,No,September
2015,Monday,Afternoon,India,Telangana,Telangana_Local_6,Textiles,Handicapped,Moderate,Electrical Fault,Male,49,Third Party,Fire/Explosion,5512,Overtime,Yes,September
2016,Monday,Morning,India,Karnataka,Karnataka_Local_11,Construction,Minor Injury,Low,Slips/Trips,Male,51,Third Party,Electric Shock,2614,Working Hours,No,February
2017,Tuesday,Morning,India,Chhattisgarh,Chhattisgarh_Local_2,Cement,Minor Injury,Low,Electrical Fault,Male,55,Outsider,Fall from Height,9234,Working Hours,No,March
2016,Tuesday,Night,India,Odisha,Odisha_Local_2,Cement,Severe Injury,High,Structural Collapse,Female,36,Outsider,Fall from Height,241,Working Hours,Yes,March
2017,Thursday,Morning,India,Gujarat,Gujarat_Local_15,Electronics,Severe Injury,High,Chemical Spill,Female,29,Outsider,Gas Leak,1161,Working Hours,Yes,June
2016,Tuesday,Morning,India,Odisha,Odisha_Local_1,Fertilizers,Handicapped,Moderate,Explosion,Female,49,Outsider,Manual Tools,1462,Working Hours,Yes,March
2019,Monday,Afternoon,India,Madhya Pradesh,Madhya Pradesh_Local_15,Pharmaceuticals,Fatal,High,Machinery Accident,Female,38,Outsider,Mechanical Impact,6910,Working Hours,No,January
2020,Thursday,Morning,India,Assam,Assam_Local_6,Pharmaceuticals,Fatal,High,Chemical Spill,Male,36,Employee,Fire/Explosion,3743,Working Hours,No,December
2019,Sunday,Night,India,Bihar,Bihar_Local_14,Textiles,Fatal,High,Explosion,Male,56,Third Party,Electric Shock,7611,Overtime,Yes,May
2020,Monday,Night,India,Chhattisgarh,Chhattisgarh_Local_1,Pharmaceuticals,Handicapped,Moderate,Fire,Male,28,Outsider,Pressure Systems,3587,Overtime,Yes,November
2015,Sunday,Night,India,Odisha,Odisha_Local_11,Steel,Handicapped,Moderate,Manual Handling,Male,53,Third Party,Electric Shock,2324,Overtime,No,August
2015,Monday,Morning,India,Gujarat,Gujarat_Local_9,Petrochemicals,Minor Injury,Low,Fire,Female,32,Outsider,Manual Tools,7972,Working Hours,No,November
2020,Saturday,Afternoon,India,Karnataka,Karnataka_Local_5,Cement,Handicapped,Moderate,Vehicle Collision,Male,36,Outsider,Pressure Systems,1117,Working Hours,No,October
2019,Thursday,Night,India,Chhattisgarh,Chhattisgarh_Local_4,Electronics,Fatal,High,Electrical Fault,Female,44,Outsider,Fire/Explosion,8609,Overtime,Yes,June
2015,Sunday,Night,India,Assam,Assam_Local_13,Automobiles,Handicapped,Moderate,Chemical Spill,Male,25,Outsider,Pressure Systems,686,Working Hours,No,December
2017,Thursday,Night,India,Gujarat,Gujarat_Local_11,Automobiles,Fatal,High,Structural Collapse,Female,25,Third Party,Slip/Trip,4992,Overtime,No,May
2016,Sunday,Afternoon,India,Telangana,Telangana_Local_13,Steel,Fatal,High,Structural Collapse,Male,35,Employee,Manual Tools,4368,Overtime,No,July
2015,Monday,Night,India,Telangana,Telangana_Local_4,Mining,Severe Injury,High,Explosion,Male,50,Employee,Fire/Explosion,3417,Working Hours,No,June
2018,Friday,Afternoon,India,Andhra Pradesh,Andhra Pradesh_Local_6,Cement,Fatal,High,Electrical Fault,Male,29,Outsider,Pressure Systems,9835,Overtime,Yes,June
2016,Saturday,Night,India,Rajasthan,Rajasthan_Local_9,Mining,Handicapped,Moderate,Manual Handling,Female,48,Third Party,Chemical Exposure,6766,Overtime,No,August
2015,Wednesday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_1,Petrochemicals,Minor Injury,Low,Explosion,Male,39,Outsider,Slip/Trip,1396,Working Hours,No,August
2019,Saturday,Afternoon,India,Uttar Pradesh,Uttar Pradesh_Local_8,Steel,Severe Injury,High,Electrical Fault,Male,44,Outsider,Heavy Machinery,8264,Overtime,No,December
2015,Thursday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_12,Mining,Minor Injury,Low,Slips/Trips,Male,49,Outsider,Chemical Exposure,6127,Working Hours,No,November
2020,Wednesday,Afternoon,India,Madhya Pradesh,Madhya Pradesh_Local_2,Construction,Minor Injury,Low,Manual Handling,Male,31,Outsider,Chemical Exposure,8029,Working Hours,Yes,March
2016,Sunday,Afternoon,India,West Bengal,West Bengal_Local_12,Electronics,Fatal,High,Electrical Fault,Female,39,Outsider,Fall from Height,3246,Working Hours,Yes,June
2019,Thursday,Morning,India,Telangana,Telangana_Local_6,Textiles,Severe Injury,High,Explosion,Male,36,Outsider,Chemical Exposure,4449,Overtime,No,March
2017,Saturday,Morning,India,Uttar Pradesh,Uttar Pradesh_Local_1,Cement,Handicapped,Moderate,Explosion,Male,33,Third Party,Pressure Systems,3879,Working Hours,No,December
2016,Thursday,Morning,India,Gujarat,Gujarat_Local_15,Petrochemicals,Handicapped,Moderate,Explosion,Male,56,Third Party,Heavy Machinery,5215,Overtime,Yes,October
2015,Wednesday,Night,India,West Bengal,West Bengal_Local_4,Cement,Severe Injury,High,Manual Handling,Male,40,Employee,Gas Leak,8049,Overtime,No,August
2018,Wednesday,Morning,India,Punjab,Punjab_Local_11,Fertilizers,Minor Injury,Low,Chemical Spill,Male,44,Outsider,Slip/Trip,9780,Working Hours,No,October
2020,Saturday,Afternoon,India,Andhra Pradesh,Andhra Pradesh_Local_2,Fertilizers,Severe Injury,High,Fall from Height,Male,44,Outsider,Gas Leak,4493,Working Hours,No,June
2020,Wednesday,Morning,India,Maharashtra,Maharashtra_Local_10,Steel,Fatal,High,Explosion,Female,25,Outsider,Chemical Exposure,5292,Working Hours,Yes,May
2017,Wednesday,Night,India,Maharashtra,Maharashtra_Local_13,Fertilizers,Fatal,High,Fall from Height,Male,33,Third Party,Chemical Exposure,2783,Overtime,No,April
2020,Monday,Night,India,Haryana,Haryana_Local_11,Construction,Fatal,High,Fall from Height,Male,50,Outsider,Electric Shock,9369,Working Hours,No,June
2016,Thursday,Afternoon,India,Telangana,Telangana_Local_12,Fertilizers,Fatal,High,Chemical Spill,Male,53,Outsider,Electric Shock,967,Working Hours,No,May
2017,Saturday,Morning,India,Maharashtra,Maharashtra_Local_2,Pharmaceuticals,Minor Injury,Low,Electrical Fault,Female,45,Outsider,Electric Shock,4807,Overtime,No,March
2017,Thursday,Morning,India,Karnataka,Karnataka_Local_14,Automobiles,Severe Injury,High,Electrical Fault,Male,54,Third Party,Gas Leak,335,Overtime,Yes,April
2018,Friday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_3,Petrochemicals,Minor Injury,Low,Fire,Male,35,Outsider,Electric Shock,8761,Working Hours,No,March
2018,Saturday,Afternoon,India,Gujarat,Gujarat_Local_12,Cement,Severe Injury,High,Manual Handling,Male,29,Outsider,Gas Leak,130,Overtime,No,September
2016,Monday,Afternoon,India,Telangana,Telangana_Local_12,Cement,Severe Injury,High,Chemical Spill,Male,33,Third Party,Slip/Trip,4608,Overtime,Yes,June
2016,Saturday,Night,India,Assam,Assam_Local_4,Steel,Handicapped,Moderate,Machinery Accident,Female,51,Outsider,Fall from Height,5110,Working Hours,No,March
2017,Saturday,Night,India,Maharashtra,Maharashtra_Local_8,Textiles,Severe Injury,High,Vehicle Collision,Male,25,Employee,Gas Leak,7088,Working Hours,Yes,June
2017,Wednesday,Morning,India,Gujarat,Gujarat_Local_13,Petrochemicals,Severe Injury,High,Fall from Height,Male,34,Employee,Mechanical Impact,2992,Working Hours,No,May
2020,Thursday,Night,India,Andhra Pradesh,Andhra Pradesh_Local_8,Construction,Handicapped,Moderate,Chemical Spill,Female,56,Third Party,Slip/Trip,7966,Working Hours,No,January
2018,Tuesday,Night,India,Maharashtra,Maharashtra_Local_13,Petrochemicals,Handicapped,Moderate,Machinery Accident,Male,55,Outsider,Electric Shock,9784,Overtime,Yes,August
2016,Tuesday,Night,India,Assam,Assam_Local_3,Automobiles,Fatal,High,Electrical Fault,Female,48,Employee,Gas Leak,9167,Working Hours,Yes,March
2019,Friday,Night,India,Tamil Nadu,Tamil Nadu_Local_7,Fertilizers,Severe Injury,High,Vehicle Collision,Male,33,Outsider,Fall from Height,2226,Overtime,No,March
2020,Friday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_9,Fertilizers,Severe Injury,High,Chemical Spill,Female,53,Outsider,Chemical Exposure,2667,Overtime,No,June
2018,Wednesday,Night,India,Bihar,Bihar_Local_10,Automobiles,Minor Injury,Low,Manual Handling,Male,45,Employee,Gas Leak,4983,Overtime,No,August
2020,Monday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_11,Steel,Severe Injury,High,Fall from Height,Female,42,Third Party,Mechanical Impact,9931,Working Hours,No,May
2017,Sunday,Morning,India,Telangana,Telangana_Local_7,Cement,Minor Injury,Low,Manual Handling,Female,49,Third Party,Fire/Explosion,9954,Working Hours,Yes,February
2017,Wednesday,Night,India,Uttar Pradesh,Uttar Pradesh_Local_4,Steel,Severe Injury,High,Machinery Accident,Male,30,Employee,Electric Shock,4160,Overtime,No,June
2019,Tuesday,Morning,India,Uttar Pradesh,Uttar Pradesh_Local_3,Steel,Severe Injury,High,Machinery Accident,Female,28,Outsider,Gas Leak,4129,Working Hours,No,April
2019,Tuesday,Afternoon,India,Andhra Pradesh,Andhra Pradesh_Local_10,Construction,Handicapped,Moderate,Chemical Spill,Male,45,Employee,Pressure Systems,6372,Working Hours,No,October
2016,Wednesday,Afternoon,India,Telangana,Telangana_Local_1,Petrochemicals,Fatal,High,Explosion,Male,51,Outsider,Manual Tools,5509,Overtime,No,April
2018,Friday,Night,India,Telangana,Telangana_Local_15,Mining,Severe Injury,High,Slips/Trips,Male,44,Employee,Gas Leak,3660,Overtime,No,April
2015,Friday,Morning,India,Assam,Assam_Local_2,Construction,Fatal,High,Fall from Height,Female,43,Third Party,Electric Shock,7044,Working Hours,Yes,January
2018,Friday,Afternoon,India,Telangana,Telangana_Local_15,Steel,Minor Injury,Low,Machinery Accident,Male,41,Outsider,Chemical Exposure,5007,Overtime,No,July
2019,Wednesday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_11,Petrochemicals,Fatal,High,Explosion,Male,39,Outsider,Gas Leak,1433,Overtime,Yes,May
2016,Wednesday,Afternoon,India,Odisha,Odisha_Local_6,Cement,Minor Injury,Low,Structural Collapse,Female,30,Outsider,Gas Leak,5508,Working Hours,No,December
2020,Wednesday,Night,India,Chhattisgarh,Chhattisgarh_Local_3,Petrochemicals,Fatal,High,Chemical Spill,Male,37,Third Party,Gas Leak,5552,Overtime,Yes,June
2020,Friday,Afternoon,India,Assam,Assam_Local_9,Cement,Minor Injury,Low,Manual Handling,Female,30,Outsider,Fall from Height,9323,Working Hours,No,November
2016,Tuesday,Morning,India,Bihar,Bihar_Local_9,Textiles,Severe Injury,High,Electrical Fault,Male,34,Outsider,Fall from Height,6711,Working Hours,No,June
2018,Tuesday,Night,India,Punjab,Punjab_Local_14,Mining,Severe Injury,High,Structural Collapse,Male,53,Outsider,Mechanical Impact,6962,Overtime,No,May
2020,Sunday,Night,India,Punjab,Punjab_Local_12,Electronics,Severe Injury,High,Manual Handling,Female,33,Outsider,Slip/Trip,6322,Overtime,Yes,April
2016,Thursday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_11,Mining,Severe Injury,High,Structural Collapse,Female,45,Outsider,Manual Tools,9907,Overtime,No,March
2020,Sunday,Morning,India,Uttar Pradesh,Uttar Pradesh_Local_15,Textiles,Minor Injury,Low,Electrical Fault,Female,29,Employee,Fire/Explosion,2150,Working Hours,No,February
2016,Friday,Morning,India,Gujarat,Gujarat_Local_5,Mining,Severe Injury,High,Slips/Trips,Male,47,Third Party,Fall from Height,1619,Working Hours,Yes,March
2018,Friday,Morning,India,Rajasthan,Rajasthan_Local_9,Pharmaceuticals,Minor Injury,Low,Manual Handling,Male,55,Outsider,Heavy Machinery,8257,Working Hours,No,January
2020,Thursday,Night,India,Assam,Assam_Local_6,Textiles,Handicapped,Moderate,Structural Collapse,Male,55,Outsider,Manual Tools,3808,Overtime,No,December
2020,Sunday,Night,India,Rajasthan,Rajasthan_Local_8,Steel,Minor Injury,Low,Explosion,Male,34,Employee,Gas Leak,1978,Overtime,No,February
2017,Sunday,Afternoon,India,Telangana,Telangana_Local_11,Cement,Minor Injury,Low,Fall from Height,Male,36,Employee,Heavy Machinery,1835,Working Hours,No,April
2017,Thursday,Morning,India,Odisha,Odisha_Local_3,Pharmaceuticals,Handicapped,Moderate,Fire,Female,25,Outsider,Mechanical Impact,5159,Working Hours,Yes,March
2019,Saturday,Afternoon,India,Karnataka,Karnataka_Local_4,Steel,Minor Injury,Low,Manual Handling,Female,35,Employee,Fall from Height,1004,Working Hours,No,March
2017,Saturday,Night,India,Haryana,Haryana_Local_2,Mining,Minor Injury,Low,Fall from Height,Male,25,Third Party,Electric Shock,4417,Working Hours,No,December
2019,Monday,Morning,India,Haryana,Haryana_Local_7,Automobiles,Fatal,High,Electrical Fault,Female,36,Outsider,Mechanical Impact,66,Working Hours,No,April
2015,Tuesday,Morning,India,Telangana,Telangana_Local_4,Steel,Severe Injury,High,Fire,Male,31,Employee,Fire/Explosion,3228,Overtime,Yes,June
2018,Saturday,Afternoon,India,Rajasthan,Rajasthan_Local_9,Steel,Handicapped,Moderate,Structural Collapse,Female,33,Third Party,Heavy Machinery,8803,Working Hours,No,November
2017,Monday,Night,India,Telangana,Telangana_Local_10,Automobiles,Minor Injury,Low,Vehicle Collision,Female,26,Outsider,Manual Tools,978,Overtime,No,February
2015,Sunday,Afternoon,India,Assam,Assam_Local_7,Construction,Minor Injury,Low,Structural Collapse,Male,43,Outsider,Manual Tools,1846,Working Hours,No,February
2017,Tuesday,Night,India,Telangana,Telangana_Local_14,Automobiles,Fatal,High,Chemical Spill,Male,36,Employee,Gas Leak,7213,Overtime,No,June
2015,Thursday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_14,Automobiles,Severe Injury,High,Electrical Fault,Male,29,Outsider,Gas Leak,6897,Overtime,No,May
2016,Monday,Afternoon,India,Karnataka,Karnataka_Local_1,Textiles,Minor Injury,Low,Machinery Accident,Male,28,Third Party,Chemical Exposure,988,Working Hours,No,February
2019,Friday,Morning,India,Madhya Pradesh,Madhya Pradesh_Local_12,Petrochemicals,Minor Injury,Low,Fire,Male,25,Employee,Mechanical Impact,4234,Working Hours,No,March
2017,Monday,Morning,India,Tamil Nadu,Tamil Nadu_Local_11,Electronics,Severe Injury,High,Explosion,Female,45,Outsider,Mechanical Impact,9226,Working Hours,No,March
2019,Tuesday,Afternoon,India,Odisha,Odisha_Local_10,Construction,Severe Injury,High,Manual Handling,Female,41,Third Party,Electric Shock,9423,Working Hours,No,May
2017,Monday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_8,Electronics,Minor Injury,Low,Fall from Height,Female,46,Third Party,Slip/Trip,878,Working Hours,No,July
2020,Saturday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_9,Automobiles,Fatal,High,Vehicle Collision,Female,28,Third Party,Chemical Exposure,2999,Overtime,No,April
2016,Thursday,Afternoon,India,Assam,Assam_Local_1,Pharmaceuticals,Handicapped,Moderate,Fire,Male,52,Third Party,Fire/Explosion,3281,Overtime,No,September
2019,Sunday,Afternoon,India,Assam,Assam_Local_3,Petrochemicals,Handicapped,Moderate,Fire,Male,27,Outsider,Heavy Machinery,390,Working Hours,No,April
2015,Thursday,Afternoon,India,Telangana,Telangana_Local_8,Petrochemicals,Severe Injury,High,Chemical Spill,Male,44,Third Party,Heavy Machinery,3621,Overtime,Yes,May
2020,Wednesday,Morning,India,Assam,Assam_Local_13,Electronics,Severe Injury,High,Explosion,Male,34,Employee,Chemical Exposure,3174,Overtime,No,January
2017,Thursday,Night,India,Tamil Nadu,Tamil Nadu_Local_2,Mining,Handicapped,Moderate,Vehicle Collision,Female,30,Outsider,Heavy Machinery,9599,Overtime,No,December
2015,Monday,Morning,India,Tamil Nadu,Tamil Nadu_Local_13,Electronics,Severe Injury,High,Structural Collapse,Male,55,Outsider,Electric Shock,2538,Working Hours,No,January
2017,Saturday,Night,India,Maharashtra,Maharashtra_Local_14,Mining,Fatal,High,Slips/Trips,Male,31,Outsider,Fall from Height,9564,Working Hours,No,March
2018,Monday,Night,India,Tamil Nadu,Tamil Nadu_Local_12,Cement,Severe Injury,High,Fall from Height,Male,30,Outsider,Fall from Height,1893,Working Hours,No,January
2019,Friday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_11,Construction,Minor Injury,Low,Slips/Trips,Male,56,Outsider,Chemical Exposure,9193,Working Hours,No,March
2015,Saturday,Night,India,Uttar Pradesh,Uttar Pradesh_Local_9,Pharmaceuticals,Severe Injury,High,Electrical Fault,Male,28,Outsider,Electric Shock,5733,Working Hours,No,December
2018,Thursday,Afternoon,India,Karnataka,Karnataka_Local_10,Fertilizers,Severe Injury,High,Explosion,Male,50,Outsider,Heavy Machinery,9693,Working Hours,No,May
2017,Thursday,Night,India,Assam,Assam_Local_2,Construction,Minor Injury,Low,Chemical Spill,Male,55,Outsider,Slip/Trip,1044,Overtime,No,July
2020,Monday,Morning,India,Karnataka,Karnataka_Local_12,Steel,Severe Injury,High,Structural Collapse,Female,39,Outsider,Fall from Height,2877,Working Hours,No,May
2018,Saturday,Morning,India,Punjab,Punjab_Local_13,Fertilizers,Minor Injury,Low,Chemical Spill,Male,42,Outsider,Mechanical Impact,7867,Working Hours,Yes,August
2018,Thursday,Afternoon,India,Punjab,Punjab_Local_6,Fertilizers,Minor Injury,Low,Structural Collapse,Female,33,Outsider,Mechanical Impact,314,Working Hours,Yes,July
2020,Sunday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_11,Construction,Minor Injury,Low,Chemical Spill,Male,49,Third Party,Pressure Systems,8529,Working Hours,No,September
2016,Friday,Morning,India,Haryana,Haryana_Local_13,Electronics,Minor Injury,Low,Machinery Accident,Male,50,Outsider,Manual Tools,4415,Working Hours,No,August
2016,Thursday,Afternoon,India,Madhya Pradesh,Madhya Pradesh_Local_11,Fertilizers,Minor Injury,Low,Machinery Accident,Female,27,Third Party,Mechanical Impact,19,Working Hours,No,September
2016,Monday,Night,India,Bihar,Bihar_Local_2,Textiles,Severe Injury,High,Explosion,Male,43,Outsider,Heavy Machinery,1376,Working Hours,No,June
2018,Monday,Afternoon,India,Assam,Assam_Local_13,Fertilizers,Minor Injury,Low,Explosion,Female,29,Employee,Chemical Exposure,3902,Working Hours,No,January
2015,Sunday,Afternoon,India,Gujarat,Gujarat_Local_1,Electronics,Handicapped,Moderate,Manual Handling,Male,53,Outsider,Mechanical Impact,4840,Working Hours,No,September
2020,Friday,Night,India,Madhya Pradesh,Madhya Pradesh_Local_3,Fertilizers,Severe Injury,High,Explosion,Female,42,Employee,Gas Leak,4733,Overtime,No,June
2015,Friday,Night,India,Maharashtra,Maharashtra_Local_3,Construction,Handicapped,Moderate,Slips/Trips,Male,25,Outsider,Fall from Height,113,Working Hours,No,May
2019,Wednesday,Afternoon,India,Bihar,Bihar_Local_7,Mining,Severe Injury,High,Structural Collapse,Male,34,Outsider,Heavy Machinery,9842,Overtime,No,June
2017,Thursday,Morning,India,Odisha,Odisha_Local_4,Cement,Severe Injury,High,Manual Handling,Male,47,Third Party,Manual Tools,5575,Working Hours,No,May
2018,Sunday,Afternoon,India,Gujarat,Gujarat_Local_6,Pharmaceuticals,Fatal,High,Machinery Accident,Female,50,Employee,Manual Tools,1973,Working Hours,No,May
2016,Sunday,Morning,India,Chhattisgarh,Chhattisgarh_Local_11,Steel,Minor Injury,Low,Slips/Trips,Male,51,Outsider,Fire/Explosion,8052,Working Hours,No,May
2018,Thursday,Night,India,Chhattisgarh,Chhattisgarh_Local_11,Construction,Severe Injury,High,Structural Collapse,Male,41,Employee,Gas Leak,4,Working Hours,Yes,May
2017,Sunday,Morning,India,Haryana,Haryana_Local_4,Electronics,Minor Injury,Low,Manual Handling,Female,52,Outsider,Heavy Machinery,2396,Overtime,No,April
2020,Sunday,Afternoon,India,Tamil Nadu,Tamil Nadu_Local_14,Pharmaceuticals,Severe Injury,High,Structural Collapse,Male,40,Outsider,Fire/Explosion,8872,Working Hours,No,October
2016,Friday,Afternoon,India,Telangana,Telangana_Local_12,Fertilizers,Severe Injury,High,Manual Handling,Female,26,Outsider,Mechanical Impact,237,Working Hours,Yes,May
2020,Sunday,Morning,India,Odisha,Odisha_Local_6,Textiles,Fatal,High,Fire,Female,44,Outsider,Fire/Explosion,6641,Overtime,No,December
2017,Tuesday,Night,India,Haryana,Haryana_Local_3,Electronics,Severe Injury,High,Manual Handling,Male,42,Third Party,Chemical Exposure,4883,Working Hours,Yes,April
2020,Monday,Afternoon,India,Assam,Assam_Local_8,Petrochemicals,Severe Injury,High,Fire,Male,25,Outsider,Fire/Explosion,5630,Working Hours,No,May
2020,Wednesday,Night,India,Telangana,Telangana_Local_2,Automobiles,Handicapped,Moderate,Electrical Fault,Female,26,Employee,Mechanical Impact,7112,Working Hours,No,August
2015,Monday,Morning,India,Maharashtra,Maharashtra_Local_5,Mining,Minor Injury,Low,Explosion,Male,41,Employee,Mechanical Impact,9142,Working Hours,Yes,January
2015,Sunday,Morning,India,Gujarat,Gujarat_Local_12,Textiles,Minor Injury,Low,Machinery Accident,Female,25,Third Party,Manual Tools,1597,Working Hours,No,September
2019,Friday,Afternoon,India,Bihar,Bihar_Local_12,Textiles,Severe Injury,High,Fall from Height,Male,40,Employee,Heavy Machinery,5633,Working Hours,No,December
2019,Monday,Morning,India,Rajasthan,Rajasthan_Local_5,Pharmaceuticals,Minor Injury,Low,Electrical Fault,Female,49,Employee,Chemical Exposure,7066,Working Hours,No,October
2018,Wednesday,Afternoon,India,West Bengal,West Bengal_Local_1,Construction,Handicapped,Moderate,Manual Handling,Male,44,Outsider,Chemical Exposure,1159,Working Hours,No,September
2020,Sunday,Night,India,Punjab,Punjab_Local_10,Mining,Fatal,High,Structural Collapse,Female,47,Outsider,Fall from Height,4594,Overtime,Yes,October
2020,Friday,Afternoon,India,Rajasthan,Rajasthan_Local_12,Fertilizers,Minor Injury,Low,Fire,Female,46,Outsider,Fire/Explosion,8074,Working Hours,Yes,December
2016,Friday,Morning,India,Assam,Assam_Local_13,Automobiles,Minor Injury,Low,Electrical Fault,Male,48,Outsider,Chemical Exposure,6247,Working Hours,Yes,December
2018,Friday,Afternoon,India,Assam,Assam_Local_14,Textiles,Severe Injury,High,Fall from Height,Female,38,Outsider,Heavy Machinery,6517,Working Hours,No,April
2016,Monday,Afternoon,India,Chhattisgarh,Chhattisgarh_Local_1,Cement,Handicapped,Moderate,Chemical Spill,Male,50,Outsider,Mechanical Impact,7903,Working Hours,No,November
2016,Thursday,Morning,India,Andhra Pradesh,Andhra Pradesh_Local_6,Cement,Minor Injury,Low,Chemical Spill,Female,54,Third Party,Mechanical Impact,4383,Working Hours,No,November
2020,Saturday,Night,India,Karnataka,Karnataka_Local_4,Mining,Severe Injury,High,Electrical Fault,Male,30,Employee,Pressure Systems,9137,Working Hours,No,May
2017,Tuesday,Night,India,Odisha,Odisha_Local_13,Petrochemicals,Fatal,High,Manual Handling,Male,56,Outsider,Heavy Machinery,7010,Working Hours,No,June
2017,Saturday,Morning,India,Chhattisgarh,Chhattisgarh_Local_4,Electronics,Minor Injury,Low,Manual Handling,Female,25,Third Party,Fall from Height,2523,Working Hours,No,September
